Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.031,637.46,512.16,148.608,76.2955,24.6969,1.00885,46.6065,107.58,112.004,113.956,10.08,157.116,6.09169,4.73671,0.514979,9.86604,8.80852,2.56957,0.290159,0.178766,0.246471,0.725303,0.421788,0.615319,0.432352,1.03711,0.32516,3.70085,0.3257,-0.957637,-0.520233,137.064,61.7428,181.711,-1.47787,0.795418,60.08464574813843,-6.210897862911224,7.71929,1.850000023841858,4.03541,0.888273,1.48413,4.03541,-0.888273,3.02116,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.508,660.63,599.266,174.518,102.942,36.7874,6.2604,28.5284,100.23,92.0592,48.1251,5.75007,113.151,6.54804,5.9994,0.690935,6.16413,33.9324,9.28986,0.29122,0.0728473,0.171278,0.425316,0.347292,0.516318,0.365286,0.86361,0.225098,6.99954,0.314915,1.31384,1.97956,106.074,28.0151,135.64,3.2934,4.98014,31.121617078781128,11.994410037994385,6.69887,3.0799999237060547,3.14486,0.295708,0.66712,3.14486,-0.295708,4.11051,999.5,6.575657894,999.5,6.575657894,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",148.471,660.145,559.161,158.303,79.6558,27.1912,5.11702,46.3391,121.559,109.214,91.8198,10.0296,159.412,4.525,3.69458,0.945283,7.37055,24.0518,7.02892,0.283108,0.13909,0.241481,0.575989,0.386298,0.598657,0.410792,0.984956,0.315549,6.47889,0.313533,0.409407,0.836208,130.386,52.3848,166.901,1.24562,0,53.443724036216736,-14.015645980834961,6.31987,1.25,4.25096,-1.06696,0.967172,4.25096,1.06696,3.71044,1182,7.986486486,1182,7.986486486,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.721,678.189,544.271,148.767,84.2402,24.8735,1.00654,38.6471,109.256,99.3665,124.731,8.88827,121.641,3.64983,4.24724,1.2899,12.5857,21.4467,5.39885,0.273333,0.183918,0.179361,1.02541,0.409438,0.535753,0.402012,0.945192,0.26242,4.60712,0.283646,-0.907309,0.733436,129.115,48.9822,160.869,-0.173873,-6.57253,48.61648266017437,-13.930444717407227,5.89718,4.599999904632568,1.04109,-0.927838,0.732913,1.04109,0.927838,4.02278,1148.1,7.407096774,1148.1,7.407096774,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",152.451,659.683,581.597,156.888,93.5056,32.8447,4.1992,26.3383,97.0013,82.4754,67.262,3.52287,140.081,5.88955,4.35122,0.582915,9.23846,23.9486,5.06425,0.269753,0.101961,0.212346,0.480164,0.34902,0.476525,0.354303,0.825546,0.206772,6.08604,0.311181,0.811963,1.63887,100.039,22.0922,130.054,2.45083,-0.400424,25.818247318267822,6.6575011014938354,5.6457,12.289999961853027,2.32736,0.554817,0.440734,2.32736,-0.554817,4.41235,910.7,5.991447368,910.7,5.991447368,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",151.697,660.122,600.107,163.004,101.988,28.2088,2.98837,29.8184,94.4339,91.3336,47.2644,3.92982,145.698,8.86776,3.40265,0.480937,10.544,28.1014,6.52175,0.271625,0.0715994,0.220713,0.3244,0.332205,0.477656,0.346444,0.809861,0.206031,6.04281,0.311186,-0.181472,1.93159,95.8936,17.8951,129.728,1.75012,4.61266,24.87915527820587,6.762553691864014,5.56192,9.569999694824219,2.07668,-1.1864,0.267335,2.07668,1.1864,4.64355,894.7,5.88618421,894.7,5.88618421,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",150.173,624.759,539.15,123.834,61.1404,22.5597,0.298384,39.8355,86.3502,101.401,75.5272,8.65503,168.558,5.67323,3.89846,0.509942,5.72797,8.02567,2.29572,0.229684,0.12089,0.269797,0.448077,0.32845,0.494291,0.347902,0.82274,0.264607,3.34448,0.251,-1.38268,-0.217552,91.4959,17.6758,130.732,-1.60023,3.25274,21.029176592826843,10.016010761260986,5.37636,18.190000534057617,2.48407,1.14222,1.77085,2.48407,-1.14222,2.63887,853.7,5.691333333,853.7,5.691333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"José Ramírez","CLE",150.665,648.96,574.937,157.121,93.5654,32.9563,2.89388,27.7051,91.6943,88.6715,63.7573,10.08,74.2554,4.47524,5.54823,0.241904,6.73543,33.1904,8.0463,0.273283,0.0982454,0.114422,0.858621,0.347383,0.485236,0.352629,0.832618,0.211952,6.00632,0.270447,-0.252174,2.34139,97.531,20.8514,128.642,2.08922,0.462874,23.996411561965942,1.062122881412506,4.84907,6.070000171661377,2.89752,-1.04737,0.549817,2.89752,1.04737,4.26691,924.5,6.122516556,924.5,6.122516556,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Fernando Tatis Jr.","SDP",148.591,648.008,567.157,152.942,93.6803,28.2598,2.4528,28.549,98.8975,80.0071,70.9467,3.4676,128.365,6.11222,3.05333,0.738894,10.5444,25.9067,6.01769,0.269664,0.109484,0.198091,0.552695,0.35534,0.479152,0.359072,0.834492,0.209488,5.88948,0.300978,0.267789,1.61272,100.778,24.2104,131.372,1.88051,5.58649,25.90761423110962,-1.4838294982910156,4.74271,14.180000305175781,2.77349,0.175394,0.511612,2.77349,-0.175394,4.31785,918.6,6.165100671,918.6,6.165100671,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",143.7,628.995,532.784,149.139,93.7836,24.9458,1.9925,28.4175,105.645,77.2422,85.8026,3.6242,134.364,7.02456,2.52167,0.862089,10.3336,24.9045,6.78906,0.279925,0.136412,0.213616,0.638585,0.385216,0.494239,0.379402,0.879455,0.214315,5.55561,0.324064,1.214,0.99265,108.203,33.8822,145.017,2.20665,-3.20033,35.76605558395386,-10.61615252494812,4.71423,5.429999828338623,3.28737,-0.306798,0.728215,3.28737,0.306798,4.02905,955.4,6.634722222,955.4,6.634722222,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
